"","x"
"1007","Vicia faba"
"1008","Vicia narbonensis"
"1009","Vicia pannonica"
"1010","Vicia sativa"
"1011","Vicia villosa"
"1012","Vigna aconitifolia"
"1013","Vigna angularis"
"1014","Vigna cylindrica"
"1015","Vigna subterranea"
"1016","Vigna trilobata"
"1017","Vitis labrusca"
"1018","Vitis rotundifolia"
"1019","Xanthorhiza simplicissima"
"1020","Xylopia aethiopica"
"1021","Zanthoxylum americanum"
"1022","Zanthoxylum clava-herculis"
"1023","Zingiber mioga"
"1024","Zizania aquatica"
"1025","Zoysia japonica"
"1026","Zoysia matrella"
"1027","Actinidia chinensis"
"1028","Aframomum angustifolium"
"1029","Agave americana"
"1030","Agave cantala"
"1031","Agave fourcroydes"
"1032","Agave lechuguilla"
"1033","Agave sisalana"
"1034","Agave vivipara"
"1035","Amomum aromaticum"
"1036","Arbutus unedo"
"1037","Arenga pinnata"
"1038","Boehmeria nivea"
"1039","Brassica cretica"
"1040","Canarium album"
"1041","Canarium indicum"
"1042","Canavalia ensiformis"
"1043","Caryocar nuciferum"
"1044","Cerasus acida"
"1045","Cerasus avium"
"1046","Chaenomeles japonica"
"1047","Citrus bergamia"
"1048","Citrus japonica"
"1049","Coffea canephora"
"1050","Corchorus capsularis"
"1051","Cormus domestica"
"1052","Crataegus pontica"
"1053","Cucurbita digitata"
"1054","Cucurbita palmata"
"1055","Digitaria iburua"
"1056","Dioscorea caucasica"
"1057","Dioscorea dodecaneura"
"1058","Dioscorea esculenta"
"1059","Dioscorea glabra"
"1060","Dioscorea gracillima"
"1061","Dioscorea hispida"
"1062","Dioscorea japonica"
"1063","Dioscorea kamoonensis"
"1064","Dioscorea nummularia"
"1065","Dioscorea obcuneata"
"1066","Dioscorea pentaphylla"
"1067","Dioscorea pubera"
"1068","Dioscorea quinquelobata"
"1069","Dioscorea reticulata"
"1070","Dioscorea sansibarensis"
"1071","Dioscorea spicata"
"1072","Dioscorea tokoro"
"1073","Echinochloa frumentacea"
"1074","Fragaria L."
"1075","Furcraea foetida"
"1076","Furcraea hexapetala"
"1077","Gaylussacia baccata"
"1078","Gossypium arboreum"
"1079","Gossypium herbaceum"
"1080","Gossypium barbadense"
"1081","Lecythis zabucajo"
"1082","Lupinus L."
"1083","Lygeum spartum"
"1084","Malus pumila"
"1085","Malus sylvestris"
"1086","Manihot palmata"
"1087","Morus nigra"
"1088","Morus rubra"
"1089","Musa paradisiaca"
"1090","Musa nana"
"1091","Myrtus communis"
"1092","Neoglaziovia variegata"
"1093","Paspalum scrobiculatum"
"1094","Phaseolus L."
"1095","Phormium tenax"
"1096","Pinus pinea"
"1097","Prunus simonii"
"1098","Psophocarpus tetragonolobus"
"1099","Rosa L."
"1100","Sansevieria zeylanica"
"1101","Sansevieria roxburghiana"
"1102","Sansevieria cylindrica"
"1103","Sansevieria sulcata"
"1104","Sansevieria ehrenbergii"
"1105","Sansevieria longiflora"
"1106","Sansevieria hyacinthoides"
"1107","Shorea aptera"
"1108","Shorea stenoptera"
"1109","Sorbus aucuparia"
"1110","Sorghum saccharatum"
"1111","Stipa tenacissima"
"1112","Thymus vulgaris"
"1113","Vaccinium oxycoccos"
"1114","Vanilla pompona"
"1115","Vigna mungo"
"1116","Vigna Savi"
"1117","Vigna umbellata"
"1118","Yucca carnerosana"
